Observation,Clan,Animal.ID,Rank,Park,DateTime,TotalCarnivores,Speed,OverlapOffset
1,SerenaNorth,PEEP,High,TM,10/12/2012 00:00,0,-0.094956667,1.508285784
2,SerenaNorth,HNDY,Low,TM,10/12/2012 00:00,0,0.526079708,-0.432625733
3,SerenaNorth,WAFL,High,TM,10/12/2012 00:00,0,0.332849407,1.436795393
4,SerenaNorth,EMA,Low,TM,10/12/2012 01:00,0,0.008605011,0.477212897
5,SerenaNorth,WAFL,High,TM,10/12/2012 01:00,0,-0.778694447,-0.302068829
6,SerenaNorth,HNDY,Low,TM,10/12/2012 01:00,0,0.414783205,-0.805664593
7,SerenaNorth,EMA,Low,TM,10/12/2012 02:00,0,0.412319638,-1.207560997
8,SerenaNorth,WAFL,High,TM,10/12/2012 02:00,0,-0.781749825,-0.302068829
9,SerenaNorth,EMA,Low,TM,10/12/2012 03:00,0,0.544261509,1.355531713
10,SerenaNorth,WAFL,High,TM,10/12/2012 03:00,0,-0.779152758,-0.302068829
11,SerenaNorth,HNDY,Low,TM,10/12/2012 06:00,0,0.883095737,-1.192594881
12,SerenaNorth,EMA,Low,TM,10/12/2012 06:00,0,-0.755705236,0.644787688
13,SerenaNorth,WAFL,High,TM,10/12/2012 07:00,0,-0.302006319,-0.302068829
14,SerenaNorth,PEEP,High,TM,10/12/2012 07:00,0,-0.180270879,0.655178097
15,SerenaNorth,EMA,Low,TM,10/12/2012 07:00,0,-0.208238907,0.644787688
16,SerenaNorth,WAFL,High,TM,10/12/2012 08:00,0,-0.783676772,-1.208810127
17,SerenaNorth,HNDY,Low,TM,10/12/2012 08:00,0,-0.778096436,-0.535309633
18,SerenaNorth,PEEP,High,TM,10/12/2012 08:00,0,-0.616904266,0.227056899
19,SerenaNorth,WAFL,High,TM,10/12/2012 09:00,0,-0.780530916,-1.208810127
20,SerenaNorth,HNDY,Low,TM,10/12/2012 09:00,0,-0.776846676,-0.535309633
21,SerenaNorth,PEEP,High,TM,10/12/2012 09:00,0,-0.770024628,0.497446344
22,SerenaNorth,WAFL,High,TM,10/12/2012 17:00,0,-0.266551054,0.988081864
23,SerenaNorth,PEEP,High,TM,10/12/2012 17:00,0,2.492785982,1.433686265
24,SerenaNorth,PEEP,High,TM,10/12/2012 18:00,0,0.217347649,0.914975692
25,SerenaNorth,WAFL,High,TM,10/12/2012 18:00,0,-0.705836369,-0.302068829
26,SerenaNorth,EMA,Low,TM,10/12/2012 18:00,0,-0.115358421,0.644787688
27,SerenaNorth,WAFL,High,TM,10/12/2012 19:00,0,-0.73785901,-0.302068829
28,SerenaNorth,TNSL,Low,TM,10/12/2012 20:00,0,-0.567740774,1.523574528
29,SerenaNorth,WAFL,High,TM,10/12/2012 20:00,0,1.542400248,-0.302068829
30,SerenaNorth,PEEP,High,TM,10/12/2012 20:00,0,0.569563987,0.893210697
31,SerenaNorth,TNSL,Low,TM,10/12/2012 21:00,0,-0.78407111,-0.685656018
32,SerenaNorth,WAFL,High,TM,10/12/2012 21:00,0,2.430083113,-1.027454745
33,SerenaNorth,PEEP,High,TM,10/12/2012 21:00,0,-0.780658287,0.655178097
34,SerenaNorth,TNSL,Low,TM,10/12/2012 22:00,0,0.109737005,-0.685656018
35,SerenaNorth,PEEP,High,TM,10/12/2012 22:00,0,1.111648302,0.655178097
36,SerenaNorth,WAFL,High,TM,10/12/2012 23:00,0,0.047216082,-0.881067449
37,SerenaNorth,EMA,Low,TM,10/12/2012 23:00,0,-0.473652427,0.845820431
38,SerenaNorth,TNSL,Low,TM,10/12/2012 23:00,0,-0.731641283,1.575042247
39,SerenaNorth,PEEP,High,TM,10/12/2012 23:00,0,-0.119265548,-0.257699718
40,SerenaNorth,WAFL,High,TM,10/13/2012 00:00,0,0.185008549,0.204649361
41,SerenaNorth,TNSL,Low,TM,10/13/2012 00:00,0,-0.762109244,1.575042247
42,SerenaNorth,EMA,Low,TM,10/13/2012 01:00,0,-0.095078924,-1.170895893
43,SerenaNorth,WAFL,High,TM,10/13/2012 01:00,0,2.248512313,0.914975692
44,SerenaNorth,TNSL,Low,TM,10/13/2012 01:00,0,0.060415478,1.575042247
45,SerenaNorth,TNSL,Low,TM,10/13/2012 02:00,0,-0.782340753,0.631978968
46,SerenaNorth,WAFL,High,TM,10/13/2012 02:00,0,1.715944701,0.658350862
47,SerenaNorth,PEEP,High,TM,10/13/2012 02:00,0,-0.151662134,0.702325644
48,SerenaNorth,TNSL,Low,TM,10/13/2012 03:00,0,-0.782853337,0.631978968
49,SerenaNorth,WAFL,High,TM,10/13/2012 03:00,0,-0.781808342,-0.302068829
50,SerenaNorth,PEEP,High,TM,10/13/2012 03:00,0,1.199789984,0.900553699
51,SerenaNorth,TNSL,Low,TM,10/13/2012 04:00,0,-0.781468294,0.631978968
52,SerenaNorth,WAFL,High,TM,10/13/2012 04:00,0,-0.772103295,-0.302068829
53,SerenaNorth,PEEP,High,TM,10/13/2012 04:00,0,-0.730336528,0.521812321
54,SerenaNorth,EMA,Low,TM,10/13/2012 04:00,0,1.117407084,-1.177450208
55,SerenaNorth,TNSL,Low,TM,10/13/2012 05:00,0,-0.649715583,0.631978968
56,SerenaNorth,WAFL,High,TM,10/13/2012 05:00,0,-0.77461917,-0.302068829
57,SerenaNorth,PEEP,High,TM,10/13/2012 05:00,0,0.412968423,0.521812321
58,SerenaNorth,WAFL,High,TM,10/13/2012 06:00,0,-0.685073629,-0.302068829
59,SerenaNorth,TNSL,Low,TM,10/13/2012 07:00,0,-0.646006584,-0.823429385
60,SerenaNorth,WAFL,High,TM,10/13/2012 07:00,0,-0.779818694,-0.302068829
61,SerenaNorth,WAFL,High,TM,10/13/2012 08:00,0,-0.722337865,-0.302068829
62,SerenaNorth,TNSL,Low,TM,10/13/2012 09:00,0,-0.500551766,1.281310447
63,SerenaNorth,WAFL,High,TM,10/13/2012 09:00,0,-0.753139737,-0.302068829
64,SerenaNorth,PEEP,High,TM,10/13/2012 09:00,0,-0.781301214,-0.739744156
65,SerenaNorth,HNDY,Low,TM,10/13/2012 09:00,0,-0.783294387,0.87961612
66,SerenaNorth,TNSL,Low,TM,10/13/2012 17:00,0,-0.778806835,-0.316618181
67,SerenaNorth,WAFL,High,TM,10/13/2012 17:00,0,-0.7732625,-0.302068829
68,SerenaNorth,PEEP,High,TM,10/13/2012 17:00,0,-0.781559246,1.302065568
69,SerenaNorth,HNDY,Low,TM,10/13/2012 17:00,0,-0.781707995,1.057042704
70,SerenaNorth,TNSL,Low,TM,10/13/2012 18:00,0,-0.779608757,-0.316618181
71,SerenaNorth,WAFL,High,TM,10/13/2012 18:00,0,2.169314505,-0.302068829
72,SerenaNorth,PEEP,High,TM,10/13/2012 18:00,0,-0.423695483,1.302065568
73,SerenaNorth,HNDY,Low,TM,10/13/2012 18:00,0,-0.778504882,1.057042704
74,SerenaNorth,TNSL,Low,TM,10/13/2012 19:00,0,0.768810704,-0.316618181
75,SerenaNorth,PEEP,High,TM,10/13/2012 19:00,0,0.00283106,-0.266226798
76,SerenaNorth,HNDY,Low,TM,10/13/2012 19:00,0,-0.7503261,1.057042704
77,SerenaNorth,TNSL,Low,TM,10/13/2012 20:00,0,-0.032044935,0.256744361
78,SerenaNorth,HNDY,Low,TM,10/13/2012 20:00,0,-0.749010086,1.631667585
79,SerenaNorth,TNSL,Low,TM,10/13/2012 21:00,0,0.553776403,-1.222871854
80,SerenaNorth,HNDY,Low,TM,10/13/2012 21:00,0,-0.205118997,1.057042704
81,SerenaNorth,TNSL,Low,TM,10/13/2012 22:00,0,0.250326299,-0.728907417
