"id","last_updated","sample_id","eartag","name","prev_id","sex","age_class","status","first_seen","den_grad","disappeared","mom","birthdate","number_littermates","litrank","arrived_den","leave_den","fate","mortality_source","death_date","weaned","clan","park","misc_notes"
"jsha","09-may-16","","","joshua","","m","a","i","06-jul-15","","06-jul-15","","","","","","","a","","","","","tk","darted for tmm gnrh trial"
"jebe","08-sep-16","","","jembe","","m","c","r","11-jul-15","16-mar-16","05-may-16","bora","11-may-15","1","1","","","k","","","","talek","tk",""
"kilo","08-sep-16","","","kilometer","pepper","m","c","r","11-jul-15","03-mar-16","","buar","20-jun-15","1","2","","","a","","","","talek","tk",""
"madi","11-may-16","","","malindi","al458","m","a","i","05-apr-14","","05-apr-15","","","","","","","d","","","","talek","tk",""
"onix","23-jan-17","","","onix","precious","m","c","r","31-dec-15","18-aug-16","","mgta","30-sep-15","0","","","","a","","","","talek","tk",""
"nzth","04-nov-16","","","nazareth","al393","m","a","i","28-may-12","","10-aug-12","","","","","","","d","","","","talek","tk","imm"
"crvy","15-jun-16","","","curvy","","u","","","26-jun-11","","","","","","","","","a","","","","mara.river","tk",""
"mart","26-jul-16","","","martha","","f","a","r","01-aug-84","","22-aug-88","","","","","","","k","","","","talek","tk","original hyena from laurence, not changing anything"
"rmki","10-oct-17","","","rumaki","jumpy","f","c","r","02-jan-16","29-jun-16","13-sep-16","byte","22-nov-15","0","1","","","k","","","","talek","tk",""
"croc","11-aug-16","","","crocs","shaggy","u","c","r","04-jan-16","","","hex","19-nov-15","1","1","","","a","","","","talek","tk",""
"lotu","23-jan-17","","","lotus","goober","u","c","r","13-jan-16","","09-apr-16","chco","31-oct-15","0","1","","","k","","","","talek","tk",""
"pow","21-oct-16","","","portuguese man of war","","m","c","r","15-jan-16","18-jun-16","","amaz","06-dec-15","1","1","","","a","","","","talek","tk",""
"urc","23-jan-17","","","urchin","","m","c","r","15-jan-16","19-jun-16","","amaz","06-dec-15","1","2","","","a","","","","talek","tk",""
"snhc","23-jan-17","","","sweet n honey café","","u","c","r","09-feb-16","","13-mar-16","neon","22-dec-15","1","","","","k","","","","talek","tk",""
"eham","23-jan-17","","","e harmony","","u","c","r","20-mar-16","","20-mar-16","lust","04-feb-16","1","","","","k","","","","talek","tk",""
"bmbl","23-jan-17","","","bumble","","u","c","r","20-mar-16","","20-mar-16","lust","04-feb-16","1","","","","k","","","","talek","tk",""
"cici","14-jul-17","","","chi chi","","f","c","r","16-mar-16","07-oct-16","","alfe","16-dec-15","0","","","","a","","","","talek","tk",""
"kero","11-aug-16","","","kerio river","","u","c","r","12-mar-16","","","ted","12-jul-15","1","2","","","a","","","","talek","tk",""
"lewa","21-oct-16","","","malewa river","","m","c","r","12-mar-16","","","ted","12-jul-15","1","1","","","a","","","","talek","tk",""
"maro","14-jul-17","1314","","mario","","u","c","r","27-mar-16","23-oct-16","","cart","16-feb-16","1","1","","","a","","","","talek","tk",""
"sguy","02-aug-18","","","shy guy","","m","c","r","27-mar-16","23-oct-16","25-may-17","cart","16-feb-16","1","2","","","a","","","","talek","tk",""
"wand","31-aug-16","","","wanda","","f","a","f","28-dec-92","","","","","","","","","a","","","","fig.tree","tk","female #128"
"c124","31-aug-16","","","dark cub 124","","u","c","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk",""
"m130","31-aug-16","","","male 130","","m","a","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk",""
"m131","31-aug-16","","","male 131","","m","a","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk",""
"larr","31-aug-16","","","larry","","m","a","f","30-dec-92","","","","","","","","","a","","","","fig.tree","tk","male #100"
"ft40","31-aug-16","","","fig tree hyena 40","","u","a","f","02-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"f37","31-aug-16","","","female 37","poe?","f","a","f","02-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"roz","31-aug-16","","","roz","","f","a","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk","female #116"
"x036","27-jul-16","","","140:36","","u","s","i","16-oct-88","","16-oct-88","","","","","","","u","","","","talek","tk",""
"dot","31-aug-16","","","dotty","","f","a","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk","female #138"
"137","31-aug-16","","","fig tree hyena 137","","u","s","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"m110","31-aug-16","","","male 110","","m","a","f","03-jan-93","","","","","","","","","a","","","","fig.tree","tk",""
"ares","10-oct-17","","","aries","","f","c","r","06-apr-16","15-dec-16","","twst","16-mar-16","0","","","","k","","06-mar-17","","talek","tk",""
"cryp","02-aug-18","","","cryptic","","m","s","r","05-may-16","","02-jul-17","unk","30-jun-15","","","","","a","","","","talek","tk","kcm hyena; graduated on or before dfs"
"pitt","21-oct-16","","","pittsburgh penguins","","m","a","o","09-jun-16","","","","","","","","","a","","","","","tk","emarti east hyena, darted for gnrh challenge"
"bnda","02-aug-18","","","hastings kamuzu banda","stanley, starchild (scld)","","s","r","10-may-16","","","roos","17-apr-15","1","","","","a","","","","talek","tk","graduated on or before dfs. this sub was originally named stanley, then changed to scld, then we realized it was bnda all along."
"hoco","10-oct-17","","","holy cow","","m","s","r","25-jun-16","","","dk","26-jul-15","1","2","","","a","","","","talek","tk","graduated on or before dfs"
"mvua","28-nov-17","","","mvua","pajama","","c","r","29-jun-16","26-sep-16","23-dec-16","pbut","29-dec-15","1","2","","","k","","","","talek","tk",""
"max","27-jul-16","","","max","","u","s","i","20-mar-89","","21-mar-89","","","","","","","u","","","","talek","tk",""
"spok","21-oct-16","","","spooky","","","s","r","14-jun-16","","","unk","01-aug-15","","","","","a","","","","talek","tk","kcm hyena of unknown parentage"
"swo","18-nov-16","","","swo","","m","a","t","29-jul-95","","29-jul-95","","","","","","","u","","","","talek","tk","does not appear in the notes"
"sng","18-nov-16","","","sng","","m","a","t","10-aug-92","","10-aug-92","","","","","","","k","humans","","","talek","tk",""
"uu2","23-nov-16","","","uu2","","m","a","t","12-jun-96","","12-jun-96","","","","","","","u","","","","talek","tk",""
"rcs","14-dec-16","","","right c scoop","","m","a","t","12-mar-90","","12-mar-90","","","","","","","u","","","","talek","tk",""
"couv","23-jan-17","","","vancouver","al525","m","a","i","23-aug-16","","","","","","","","","a","","","","talek","tk",""
"brsl","23-jan-17","","","brussels","al522","m","a","i","14-aug-16","","","","","","","","","a","","","","talek","tk",""
"mke","23-jan-17","","","milwaukee","al516","m","a","i","04-jul-16","","","","","","","","","a","","","","talek","tk",""
"chag","27-nov-17","","","copenhagen","al520","m","a","i","26-jul-16","","17-dec-16","","","","","","","d","","","","talek","tk",""
"vana","23-jan-17","","","havana","al521","m","a","i","11-aug-16","","","","","","","","","a","","","","talek","tk",""
"tc","23-jan-17","","","traverse city","al519","m","a","i","29-jul-16","","","","","","","","","a","","","","talek","tk",""
"clue","02-aug-18","","","clue","","","c","r","09-aug-16","08-jan-17","","adon","28-jun-16","","","","","a","","","","talek","tk",""
"lgnd","10-oct-17","","","legend","","f","c","r","27-jul-16","19-jan-17","","atac","04-jul-16","","","","","a","","","","talek","tk",""
"myth","10-oct-17","","","myth","","m","c","r","27-jul-16","19-jan-17","","atac","04-jul-16","","","","","a","","","","talek","tk",""
"nano","06-dec-17","","","nanosecond","","f","c","r","25-jul-16","15-apr-17","","buar","19-jul-16","","","","","a","","","","talek","tk","one of nano and hrtz was seen on aug 4th, but we can't tell them apart so we give both cubs the earlier date"
"moo","06-dec-17","","","moomers","","f","c","r","19-nov-16","22-apr-17","","gel","25-jun-16","1","1","","","a","","","","talek","tk",""
"crem","06-dec-17","","","cold stone creamery","","f","c","r","19-nov-16","20-apr-17","","gel","25-jun-16","1","2","","","a","","","","talek","tk",""
"bufy","18-apr-18","","","buffy the vampire slayer","","m","c","r","16-nov-16","14-jul-17","","wrth","07-oct-16","1","1","","","a","","","","talek","tk",""
"x133","27-jul-16","","","x133:5","","u","","","22-aug-88","","22-aug-88","","","","","","","u","","","","talek","tk",""
"wyn","18-apr-18","","","eowyn","","","c","r","21-nov-16","02-jul-17","","parc","03-oct-16","1","1","","","a","","","","talek","tk",""
"osa","12-jul-17","","","osaka","al527","","a","i","23-oct-16","","","","","","","","","a","","","","talek","tk","kcm clan"
"bivy","06-dec-17","","","blue ivy","","f","c","r","25-nov-16","20-may-17","","tilt","27-jun-16","0","","","","a","","","","talek","tk",""
"pip","18-apr-18","","","pipette","","m","c","r","11-dec-16","06-jul-17","","merl","31-oct-16","1","1","","","a","","","","talek","tk",""
"ptri","18-apr-18","","","petri dish","","","c","r","11-dec-16","06-jul-17","","merl","31-oct-16","1","2","","","a","","","","talek","tk",""
"dds","02-aug-18","","","daisy dukes","","f","c","r","21-nov-16","26-jun-17","","tnks","11-oct-16","0","","","","a","","","","talek","tk",""
"ren","12-apr-18","","","arwen","","","c","r","21-nov-16","02-jul-17","","parc","03-oct-16","1","2","","","a","","","","talek","tk",""
"lana","12-jul-17","","","galana river","","","c","r","06-dec-16","","","ted","17-oct-16","1","","","","a","","","","talek","tk",""
"athi","12-jul-17","","","athi river","","","c","r","06-dec-16","","","ted","17-oct-16","1","","","","a","","","","talek","tk",""
"ica","02-aug-18","","","ica desert","pinwheel","","c","r","18-nov-16","","22-apr-17","hel","28-oct-16","1","1","","","a","","","","talek","tk","one of ica or crst was first confirmed on 12/10/2016"
"bens","12-apr-18","","","detective olivia benson","parallel","","c","r","16-nov-16","08-aug-17","","wrth","07-oct-16","1","2","","","a","","","","talek","tk",""
"cala","02-aug-18","","","calabash","littlefoot","m","c","r","14-dec-16","","09-apr-17","bora","12-oct-16","0","","","","a","","","","talek","tk",""
"bret","02-aug-18","","","bruschetta","tootsie","m","c","r","13-dec-16","26-dec-17","","byte","31-oct-16","1","1","","","a","","","","talek","tk",""
"huvo","02-aug-18","","","huevos rancheros","","","c","r","17-dec-16","","03-jul-17","tgpi","03-nov-16","1","2","","","a","","","","talek","tk",""
"x138","27-jul-16","","","x138:29-31","","u","","","11-sep-88","","11-sep-88","","","","","","","u","","","","talek","tk",""
"knox","13-jul-17","","","knoxville","al530","m","a","i","17-dec-16","","","","","","","","","a","","","","talek","tk","md clan"
"ahus","02-aug-18","","","aarhus","al524","m","a","i","30-aug-16","","21-dec-16","","","","","","","d","","","","talek","tk","md clan"
"kish","13-jul-17","","","kinshasa","al532","m","a","i","09-nov-16","","","","","","","","","a","","","","talek","tk","kcm clan"
"marq","13-jul-17","","","marquette","al518","m","a","i","28-jul-16","","","","","","","","","a","","","","talek","tk","md clan"
"oolg","02-aug-18","","","oolong","","","c","r","13-mar-17","06-oct-17","","alfe","23-jan-17","1","","","","a","","","","talek","tk","pond"
"meno","12-apr-18","","","anemone","comet","","c","r","03-mar-17","09-aug-17","","amaz","26-jan-17","1","1","","","a","","","","talek","tk","main doc"
"srio","02-aug-18","","","syrio forel","","","c","r","13-feb-17","23-sep-17","","bnt","05-dec-16","1","2","","","a","","","","talek","tk","pond"
"ritz","12-apr-18","","","ritz","","","c","r","30-jan-17","23-jul-17","","decm","12-jan-17","0","","","","a","","","","talek","tk","main doc"
"mcg","02-aug-18","","","mcguire","","","c","r","24-jan-17","04-oct-17","","ffl","25-nov-16","1","2","","","a","","","","talek","tk","main doc"
"mat","20-nov-17","","","matisse","","u","c","r","24-jun-02","05-apr-03","22-jun-03","hg","10-jun-02","1","","","","k","","","23-dec-02","talek","tk"," dengrad calced by pat"
"mavi","02-aug-18","","","mavi","","f","c","r","24-jan-17","18-nov-17","","ffl","25-nov-16","1","1","","","a","","","","talek","tk","main doc"
"snpy","12-apr-18","","","snoopy","scritch","","c","r","04-jan-17","","04-apr-17","goof","06-oct-16","1","1","","","k","","","","talek","tk","pond"
"wyan","09-oct-17","","","wyandotte","al531","m","a","i","17-nov-16","","","","","","","","","a","","","","talek","tk","pond"
"lag","10-nov-17","","","lagomorpha","","","c","r","28-jun-17","","","gofa","23-may-17","1","","","","a","","","","talek","tk","main doc"
"arti","10-nov-17","","","artiodactyla","","","c","r","28-jun-17","","","gofa","23-may-17","1","","","","a","","","","talek","tk","main doc"
"hola","03-aug-18","","","hola","","","c","r","12-jun-17","23-jan-18","","wran","08-may-17","1","","","","a","","","","talek","tk","main doc"
"jmbo","03-aug-18","","","jambo","","","c","r","12-jun-17","23-dec-17","","wran","08-may-17","1","","","","a","","","","talek","tk","main doc"
"pnga","03-aug-18","","","panga","","","c","r","12-jun-17","03-feb-18","","bora","07-jun-17","1","","","","a","","","","talek","tk","main doc"
"shok","03-aug-18","","","shoka","","","c","r","12-jun-17","03-feb-18","","bora","07-jun-17","1","","","","a","","","","talek","tk","main doc"
"lina","02-aug-18","","","rosalina","","","c","r","08-jun-17","","","cart","26-apr-17","1","2","","","a","","","","talek","tk","pond; after lina lost her foot, possible change in rank between her and gmba - previously lina was dominant, now gmba may be, but this is under continued observation in the field"
"bloo","02-aug-18","","","baloo","mouse","","c","r","04-jan-17","03-oct-17","","juno","27-oct-16","1","2","","","a","","","","talek","tk","pond"
"swpo","03-aug-18","","","sweet potato","","","c","r","26-aug-17","10-oct-17","","tato","23-jan-17","0","","","","a","","","","talek","","kcm"
"mnkn","03-aug-18","","","munchkin","","u","c","r","23-sep-17","25-oct-17","","unag","23-dec-16","1","","","","a","","","","talek","","kcm"
"tw","02-aug-18","","","teeny weeny","","u","c","r","23-sep-17","14-oct-17","","unag","23-dec-16","1","","","","a","","","","talek","","kcm"
"gem","07-sep-18","","","gemini","carlos","f","c","r","25-jul-17","11-mar-18","","twst","25-may-17","1","2","","","a","","","","talek","","main doc"
"rprt","11-apr-18","","","rupert","","","c","r","30-jul-17","","","cybr","30-may-17","0","","","","a","","","","talek","","kcm"
"kaka","02-aug-18","","","kaka","","","c","r","14-jul-17","","","tast","10-may-17","1","2","","","a","","","","talek","","pond"
"thel","15-jun-18","","","thelonious","thls (accidental duplicate of serena hyena id)","","c","r","28-jan-12","","","peeb","02-jan-12","1","","","","a","","","","mara.river","",""
"bull","03-aug-18","","","bullet","","m","","r","03-nov-17","28-jan-18","","","19-feb-17","","","","","a","","","","talek","","kcm"
"boxy","03-aug-18","","","boxy","","","","r","03-nov-17","","","","03-apr-17","","","","","a","","","","talek","","kcm"
"skp","07-sep-18","","","skip","","","","r","03-nov-17","06-apr-18","","","02-jan-17","","","","","a","","","","talek","","kcm"
"papi","03-aug-18","","","david ortiz ""big papi""","","","","r","13-dec-17","","","aqua","25-oct-17","1","","","","a","","","","talek","","pond. 12/13/2017 is the first day they were seen nursing. we did see two black cubs on 12-dec-17 but they could be other cubs."
"gibs","03-aug-18","","","bob gibson","","m","","r","13-dec-17","","","aqua","25-oct-17","1","","","","a","","","","talek","","pond. 12/13/2017 is the first day they were seen nursing. we did see two black cubs on 12-dec-17 but they could be other cubs."
"ebny","03-aug-18","","","ebony","","m","c","r","30-mar-17","28-sep-17","","","15-dec-16","","","","","a","","","","talek","","kcm"
"frd","03-aug-18","","","fred","","","","r","26-dec-17","","","","01-apr-17","","","","","a","","","","talek","","kcm"
"gost","03-aug-18","","","ghost","","","","r","17-jan-18","","","bnt","09-dec-17","1","","","","a","","","","talek","","pond"
"davo","03-aug-18","","","ser davos seaworth","","","","r","17-jan-18","","","bnt","09-dec-17","1","","","","a","","","","talek","","pond"
"ban","03-aug-18","","","bean","","","","r","02-jan-18","","","","19-sep-17","","","","","a","","","","talek","","kcm"
"augg","03-aug-18","","","auggie","","","","r","02-jan-18","","","","12-sep-17","","","","","a","","","","talek","","kcm"
"u534","27-jul-16","534","","male","","m","a","d","16-mar-14","","16-mar-14","","","","","","","k","humans (speared near a boma)","16-mar-14","","talek","","ear, cheek, and multiple organ and tisue samples taken"
"cplx","14-aug-18","","","complex","","","","r","20-feb-18","","","","07-may-17","","","","","a","","","","talek","","kcm"
"puzz","03-aug-18","","","puzzle","","","","r","23-jan-18","","","","01-sep-17","","","","","a","","","","talek","","kcm"
"btrx","07-sep-18","","","bellatrix","upepo","f","c","r","20-apr-18","","","fay","09-feb-18","1","1","","","a","","","","talek","","talek west"
"1361","07-sep-18","1361","","kc1361","","","c","r","02-jun-18","","02-jun-18","gel","13-dec-17","1","","","","a","hit by a car","02-jun-18","","","","kcm"
"pitu","07-sep-18","","","pitumarca","mouse","m","c","r","03-jun-18","","","hel","12-feb-18","1","","","","a","","","","talek","","talek west"
"yuni","07-sep-18","","","uyuni","jukebox","m","c","r","03-jun-18","","","hel","12-feb-18","1","","","","a","","","","talek","","talek west"
"ssta","07-sep-18","","","sea star","dunia","","c","r","05-jun-18","","","amaz","20-feb-18","","","","","a","","","","talek","","talek west"
"lska","07-sep-18","","","baked alaska","","","c","r","19-jun-18","","","pces","29-apr-18","","","","","a","","","","talek","","talek west"
"hnk","11-sep-18","","","hank","","","c","r","21-feb-18","","","","22-nov-17","","","","","a","","","","","","talek west"
"wlt","11-sep-18","","","walter","","","c","r","21-feb-18","","","","15-nov-17","","","","","a","","","","","","talek west"
"regu","11-sep-18","","","regulus","moto","m","c","r","20-apr-18","","","fay","09-feb-18","1","2","","","a","","","","","","talek west"
"u536","23-jul-18","536","","unknown","","u","a","d","17-apr-14","","","","","","","","","k","poison (april 2014 incident)","12-apr-14","","talek","","cheek muscle and stomache contents taken, see necropsy sheet. sss removed disappear date because this hyena was never actually seen until the date it was found dead. death date is an estimate based on body condition when found dead."
"u891","27-jul-16","891","","u891","","u","c","d","27-feb-02","","27-feb-02","","","","","","","k","lions","25-feb-02","","talek","","found by leopard xing"
"u856","27-jul-16","856","","u856","","u","","d","23-may-05","","23-may-05","","","","","","","k","humans (speared)","17-may-05","","talek","",""
"puma","27-jul-16","","","puma","jay","m","c","r","28-jan-10","29-jul-10","06-aug-12","hex","10-nov-09","1","","","","d","","","05-nov-10","talek","tk","dispersed to southern comfort"
"u860","27-jul-16","860","","u860","","u","a","d","05-jun-05","","05-jun-05","","","","","","","k","humans (speared)","04-jun-05","","talek","",""
"u861","27-jul-16","861","","u861","","u","a","d","05-jun-05","","05-jun-05","","","","","","","k","humans (speared)","04-jun-05","","talek","","might be kier"
"u639","27-jul-16","639","","u639","","u","c","d","10-jan-12","","10-jan-12","","","","","","","k","hyenas (infanticide by mos)","10-jan-12","","talek","tk","mom candidates on necropsy sheet; age~6 wks"
"elmo","11-aug-16","","","elmo","cub =  sink","f","c","r","01-dec-11","","16-jun-12","cm","28-oct-11","1","1","","","k","starved?","","","fig.tree","",""
"nght","15-jun-15","","","nightcrawler","scarface = cub name","u","c","r","22-nov-10","","10-oct-11","pot","15-oct-10","1","","","","k","","","","fig.tree","",""
"cmta","11-aug-16","360","","carmencita","betty, zsa zsa","f","a","r","27-apr-07","","09-mar-12","","","","","","","k","unk","26-mar-12","","fig.tree","","sba and ljc thought perhaps cmta is med's kid. there is a zsa zsa hyena from amboseli as well - that is not the same hyena as cmta"
"trph","11-aug-16","","","trophy","djmn; al477; maid","f","a","r","24-nov-13","","","","","","","","","a","","","","fig.tree","tk","this hyena was mistakenly identified as an immigrant male (al447) and named (djmn) but was found to be a female and received this name"
"miba","21-oct-16","","","miguel cabrera","cinnamon","u","c","r","30-sep-15","13-apr-16","","aqua","25-aug-15","1","","","","a","","","","talek","tk",""
"zrch","19-aug-16","","","zurich","al358","m","a","t","27-may-10","","09-jan-15","","","","","","","d","","","","talek","",""
"bsh","19-aug-16","27","","bracket shoulder","brsh, bs","f","a","r","01-jan-83","","29-may-99","kb","01-jan-83","","","","","k","kidney failure","29-may-99","","talek","tk","careful, there is also a real hyena named 'bs'"
"ugg","11-aug-16","","","ugg","silver","u","c","r","04-jan-16","","","hex","19-nov-15","1","2","","","a","","","","talek","tk",""
"loha","23-jan-17","","","aloha","lasso","u","c","r","29-jan-16","","21-feb-16","wran","29-oct-15","0","1","","","k","","","","talek","tk",""
"chsy","23-jan-17","","","chipsy","","u","c","r","09-feb-16","","13-mar-16","neon","22-dec-15","1","","","","k","","","","talek","tk",""
"yaz","22-aug-16","","","yastrzemski","slingshot?","m","c","r","03-jun-09","24-jun-09","21-nov-11","aqua","01-dec-08","0","","","","d","","","20-dec-09","talek","tk","cubname should not be 'squirt'. any mention of 'squirt' should be envy instead"
"02","21-jul-16","688","","female 02","","f","a","r","01-jan-77","","12-apr-93","","01-jan-77","","","","","k","","","","talek","tk",""
"11","","","","female 11","","f","a","r","","","","","","","","","","k","","","","talek","","lgf hyena, mom to lg & es"
"16","","","","female 16","","f","a","r","","","","","","","","","","k","","","","talek","","lgf hyena, mom to bf"
"1ear","14-dec-16","","","1ear","","m","a","t","25-nov-89","","25-nov-89","","","","","","","u","","","","talek","tk",""
"31","","","","female 31","","f","a","r","","","","","","","","","","k","","","","talek","","lgf hyena, mom to bam"
"3qm","14-dec-16","","","3?","","m","a","t","27-jun-90","","30-jun-90","","","","","","","u","","","","talek","tk",""
"40","","","","female 40","","f","a","r","","","","","","","","","","k","","","","talek","","lgf hyena, mom to 79 & 44, grandmother to sr"
"44","26-jul-16","","","female 44","","f","a","r","01-mar-79","","","40","01-mar-79","","","","","k","","","","talek","tk","lgf hyena, mom to 40, grandmother to 79; original hyena from laurence, not changing anything"
"63","","","","female 63","","f","a","r","","","","03","","","","","","k","","","","talek","","lgf hyena, mom to ot, daughter of 03"
"67sm","","","","67's smaller","","m","a","r","01-sep-85","","20-aug-89","67","01-sep-85","0","1","","","d","","","","talek","tk",""
"990","","990","","nhm 91","","","","d","09-jun-01","","09-jun-01","","","","","","","a","","","","","","road kill near narosura; skull in museum"
"9b","14-dec-16","64","","9butt","","m","a","i","25-jun-90","","10-aug-93","","","","","","","d","","","","talek","tk",""
"a102","","","","alien 102","","u","","t","06-apr-01","","","","","","","","","a","","","","","tk",""
"a103","","","","alien 103","","u","","t","15-apr-01","","","","","","","","","a","","","","","tk",""
"a104","","","","alien 104","","u","","t","15-apr-01","","","","","","","","","a","","","","","tk",""
"a105","","","","alien 105","","u","","t","16-apr-01","","","","","","","","","a","","","","","tk",""
"a106","","","","alien 106","","u","","t","24-apr-01","","","","","","","","","a","","","","","tk",""
"a107","","","","alien 107","","u","","t","10-may-01","","","","","","","","","a","","","","","tk",""
"a108","","","","alien 108","","u","","t","12-may-01","","","","","","","","","a","","","","","tk",""
"a110","","","","alien 110","","u","","t","10-jun-01","","","","","","","","","a","","","","","tk",""
"a111","","","","alien 111","","u","","t","10-jun-01","","","","","","","","","a","","","","","tk",""
"a112","","","","alien 112","","u","","t","13-jun-01","","","","","","","","","a","","","","","tk",""
"a113","","","","alien 113","","u","","t","13-jun-01","","","","","","","","","a","","","","","tk",""
"a114","","","","alien 114","","u","","t","01-jul-01","","","","","","","","","a","","","","","tk",""
"a36b","","","","al36b","","u","a","t","18-feb-99","","18-feb-99","","","","","","","u","","","","talek","tk",""
"a43b","","","","al43b","","u","a","t","19-may-99","","19-may-99","","","","","","","u","","","","talek","tk",""
"aaa","11-nov-16","","","addis ababa","","m","a","t","12-sep-98","","08-sep-99","","","","","","","u","","","","talek","tk",""
"aaf1","25-mar-08","201","","aaf1","","f","a","d","05-jun-97","","05-jun-97","","","","","","","k","","05-jun-97","","","tk",""
"aaf2","25-mar-08","199","","aaf2","","f","a","d","02-may-97","","02-may-97","","","","","","","k","","02-may-97","","embryo","tk",""
"ab","18-jul-16","","","arrow butt","","m","c","r","26-jun-88","","18-jul-89","02","01-oct-87","0","1","","","k","","","22-oct-88","talek","tk",""
"abe","","","","abraham","","m","c","r","05-may-04","","","","14-apr-04","","","","","a","","","","airstrip","","amboseli"
"aber","25-mar-08","","","aberdeen","","u","c","r","13-apr-02","","23-apr-03","eco","23-feb-03","","","","","k","","23-feb-03","","mara.river","",""
"aca","01-feb-16","","","acadia","","f","c","r","13-apr-08","20-jul-08","04-jun-09","sbl","24-oct-07","","","","","k","","","26-sep-08","talek","",""
"acc","20-may-15","","","accra","al392","m","a","i","13-feb-12","","","","","","","","","a","","","","mara.river","",""
"ach","","116","","achilles","","m","a","f","16-jun-94","","16-jun-94","","","","","","","","","","","fig.tree","tk",""
"acia","17-dec-15","","","acacia","","u","c","r","14-jan-12","","27-jan-12","obam","19-nov-11","","","","","k","","","","talek","",""
"aco","","","","acorn","","m","c","r","28-feb-08","","","chip","27-sep-07","1","2","","","a","","","","mara.river","",""
"acon","01-feb-16","","","aconcagua","","m","c","r","30-jan-10","03-aug-10","30-aug-13","hel","18-dec-09","1","1","","","d","","","20-aug-10","talek","tk","seen with te on 1/7/2014, dispersed to te, seen multiple times fighting for them in clan wars"
"acr","","","","anchor","","","","","","","","","","","","","","a","","","","airstrip","","amboseli"
"adam","18-nov-16","","","adam","","m","a","t","03-jun-95","","03-jun-95","","","","","","","u","","","","talek","tk",""
"add","07-mar-16","","","adder","","u","c","r","07-oct-03","","14-nov-03","jut","09-sep-03","","","","","u","","","","talek","","talek east"
"ade","07-mar-16","787","","adelaide","am128","m","a","i","09-nov-01","","04-may-04","","","","","","","k","humans-speared","","","talek","","talek east"
"adon","27-apr-15","355","352","adonis","","f","c","r","22-may-01","08-oct-01","","mrph","20-mar-01","1","2","","","a","","","06-dec-01","talek","tk","talek west. master list: sex=u dengrad calced by pat"
"adr","01-apr-08","117","","adrianne","","f","a","t","17-jun-94","","17-jun-94","","","","","","","u","","","","talek","tk",""
"ads","08-sep-16","","","adidas","","m","c","r","07-jun-15","17-mar-16","","hex","11-feb-15","0","","","","a","","","","talek","tk",""
"aero","05-may-12","","","aero","","","c","r","","","","wnd","29-nov-09","","","","","a","","","","mara.river","",""
"af01","01-apr-08","","","alien female #1","","f","a","t","11-may-97","","11-may-97","","","","","","","u","","","","talek","tk",""
"af02","01-apr-08","","","alien female #2","","f","a","t","03-jun-97","","03-jun-97","","","","","","","u","","","","talek","tk",""
"af03","01-apr-08","","","alien female 03","","f","a","t","21-jan-98","","26-jan-98","","","","","","","u","","","","talek","tk",""
"af04","01-apr-08","","","alien female 04","","f","a","t","26-jan-98","","28-jan-98","","","","","","","u","","","","talek","tk",""
"af05","01-apr-08","","","alien female 05","","f","a","t","28-jan-98","","28-jan-98","","","","","","","u","","","","talek","tk",""
"af06","01-apr-08","","","alien female 06","","f","a","t","02-feb-98","","15-jun-98","","","","","","","u","","","","talek","tk",""
"af07","01-apr-08","","","alien female 07","","f","a","t","05-feb-98","","05-feb-98","","","","","","","u","","","","talek","tk",""
"af08","01-apr-08","","","alien female 08","","f","a","t","20-feb-98","","20-feb-98","","","","","","","u","","","","talek","tk",""
"af09","01-apr-08","","","alien female 09","","f","a","t","13-mar-98","","13-mar-98","","","","","","","u","","","","talek","tk",""
"af10","01-apr-08","","","alien female 10","","f","a","t","29-mar-98","","29-mar-98","","","","","","","u","","","","talek","tk",""
"af11","01-apr-08","","","alien female 11","","f","a","t","11-jun-98","","11-jun-98","","","","","","","u","","","","talek","tk",""
"af12","01-apr-08","","","alien female 12","","f","a","t","13-jun-98","","13-jun-98","","","","","","","u","","","","talek","tk",""
"af13","01-apr-08","","","alien female 13","","f","a","t","13-jun-98","","13-jun-98","","","","","","","u","","","","talek","tk",""
"af14","01-apr-08","","","alien female 14","","f","a","t","24-aug-98","","24-aug-98","","","","","","","u","","","","talek","tk",""
"af15","01-apr-08","","","alien female 15","","f","a","t","09-sep-98","","11-sep-98","","","","","","","u","","","","talek","tk",""
"af16","01-apr-08","","","alien female 16","","f","a","t","11-sep-98","","11-sep-98","","","","","","","u","","","","talek","tk",""
"af17","01-apr-08","","","alien female 17","","f","a","t","02-oct-98","","02-oct-98","","","","","","","u","","","","talek","tk",""
"af18","01-apr-08","","","alien female 18","","f","a","t","11-oct-98","","11-oct-98","","","","","","","u","","","","talek","tk",""
"af19","01-apr-08","","","alien female 19","","f","a","t","26-oct-98","","26-oct-98","","","","","","","u","","","","talek","tk",""
