"id","last_updated","sample_id","eartag","name","prev_id","sex","age_class","status","first_seen","den_grad","disappeared","mom","birthdate","number_littermates","litrank","arrived_den","leave_den","fate","mortality_source","death_date","weaned","clan","park","misc_notes"
"salt","05-jun-15","","","saltatory","","u","c","r","16-may-13","","","rway","10-feb-13","1","","","","a","","","","mara.river","tk",""
"sam","02-feb-16","","","samburu","","f","c","r","19-sep-06","07-jun-07","30-apr-12","art","07-aug-06","1","1","","","k","","","24-aug-07","talek","tk","talek west"
"sant","","","","santiago","djib","m","a","i","","","","","","","","","","a","","","","fig.tree","",""
"sars","03-may-12","","","sars","","","c","r","","","","mrl","09-nov-10","2","","","","a","","","","mara.river","",""
"sasa","05-nov-15","","","sasha grey","","u","c","r","06-may-15","","","tud","20-mar-15","1","","","","a","","","","fig.tree","tk",""
"sb","","49","","sunbird","","m","c","r","26-jun-90","31-dec-90","05-apr-93","gw","15-may-90","1","","27-sep-90","09/27/90 00:00:00","d","","","31-jul-91","talek","tk"," dengrad calced by pat"
"scby","21-jul-16","127","","scooby-doo","","f","c","r","22-feb-94","","05-nov-94","sd","27-jan-94","0","","22-jul-94","07/22/94 00:00:00","k","","05-nov-94","","talek","tk"," dengrad calced by pat"
"sclw","27-apr-15","704","704","scallywags","","m","a","","30-may-02","","","","","","","","","a","","","","llion","",""
"scmp","02-feb-16","","","scamper","","m","c","r","08-mar-12","14-sep-12","26-jan-13","cen","30-oct-11","1","2","","","k","","","11-dec-12","talek","tk","unclear whether mother was cen or alfe; wean date calculated using nursing from alfe"
"scor","","","","scorsese","","f","c","r","13-oct-04","","","bgrd","30-sep-04","","","","","a","","","","oltukai","","amboseli"
"scot","14-dec-16","","","scott","","m","a","t","11-aug-91","","11-aug-91","","","","","","","u","","","","talek","tk",""
"scra","","779","","scratches","","m","s","r","23-may-08","","23-may-08","","","","","","","a","","","","llion","","double xing darting"
"scrm","21-oct-16","","","scramble","","f","c","r","06-mar-15","","15-nov-15","tgpi","11-feb-15","0","","","","a","","","","talek","tk",""
"sde","","","","suede","","m","c","r","02-dec-03","","19-apr-04","vic","20-sep-03","","","","","a","","","","airstrip","","amboseli"
"sdi","27-apr-15","896","896","sidai","","f","c","r","13-mar-02","","11-jun-03","nana","31-dec-01","1","1","","","k","","11-jun-03","","mara.river","","deathdate is date last seen"
"seeg","16-dec-15","","","seeger","","u","c","r","09-apr-06","","24-jun-06","bail","06-apr-06","1","2","","","k","","16-nov-06","","talek","","talek west"
"sehe","14-apr-15","","","starehe","","","c","r","04-feb-13","","","lu","12-jan-13","1","2","","","a","","","","fig.tree","tk",""
"sel","","","","sel","","","","","22-dec-99","","","","","","","","","a","","","","","tk",""
"sha","28-mar-08","185","","shasta","","m","c","r","28-dec-95","28-jun-96","06-oct-96","gil","07-nov-95","1","2","","","k","lions","06-oct-96","","talek","tk"," dengrad calced by pat"
"shai","20-may-15","","","shanghai","al410","m","a","i","19-aug-12","","","","","","","","","a","","","","mara.river","",""
"shal","","","","shale","","m","c","r","14-jul-04","","","hef","03-jul-04","","","","","a","","","","airstrip","","amboseli"
"shb","18-jul-16","362","362","shaba","","m","c","r","21-apr-01","05-dec-01","24-aug-02","par","19-mar-01","","","","","k","","","","talek","tk","talek east. duplicate record with synonym abbreviation; wrong birthdate? dengrad calced by pat"
"shd","13-nov-15","","","shades","","f","","r","09-jun-02","","","","","","","","","a","","","","airstrip","","amboseli"
"she","","254","","shera","","f","a","f","27-may-99","","27-may-99","","","","","","","u","","","","fig.tree","tk",""
"shef","","","","","","m","c","r","","","","koko","20-jan-09","1","1","","","a","","","","mara.river","",""
"shel","28-mar-08","","","shelob","","u","c","r","19-apr-93","","05-may-93","es","09-mar-93","0","","","","k","","05-may-93","","talek","tk"," dengrad calced by pat"
"shfx","02-feb-16","650","","shadowfax","","m","c","r","22-jan-11","04-aug-11","25-apr-13","blue","18-dec-10","1","1","","","d","","","30-apr-12","talek","tk",""
"shg","","","","shaggy","","","","","","","","","","","","","","a","","","","airstrip","","amboseli"
"shim","05-jun-15","","","shimmy","shoulder","m","c","r","18-mar-14","","","","11-sep-13","","","","","a","","","","mara.river","",""
"shk","","","","shaka","","m","a","i","30-oct-01","","09-apr-02","","","","","","","u","","","","mara.river","",""
"shmp","20-may-15","","","shrimp","","m","c","r","06-dec-14","","","amaz","30-nov-14","0","","","","a","","","","talek","",""
"shrd","11-aug-16","","","the shredder","","","c","r","05-jan-09","","07-mar-10","tcy","01-dec-08","1","1","","","k","unk","","","fig.tree","",""
"sht","04-may-15","880","","short tail","pa02, rph","m","a","i","14-dec-01","","","","","","","","","a","","","","mara.river","","previous id = pa02 and rph; seen repeatedly in talek in 2009"
"sia","15-jan-15","","","sangria","","u","c","r","25-jul-04","","20-nov-05","hml","10-jun-04","1","2","","","k","","","","talek","tk","talek east; shared dfs with chm"
"sid","11-nov-16","","","sidney","","m","a","t","14-sep-98","","14-sep-98","","","","","","","u","","","","talek","tk",""
"sil","01-may-15","","","silverside","","m","c","r","19-dec-01","","26-apr-02","back","13-dec-01","1","2","","","u","","","","mara.river","",""
"simm","","","","simmie","","f","a","t","20-apr-92","","20-apr-92","","","","","","","u","","","","talek","tk",""
"sipi","","","","sipi","","u","c","r","19-jan-03","","19-jan-03","chw","07-nov-02","","","","","a","","","","talek","tk"," dengrad calced by pat"
"sir","24-mar-17","147","","sirius","","m","c","r","29-jul-94","19-jul-95","16-feb-96","sx","10-jul-94","1","1","","","k","","16-feb-96","","talek","tk"," dengrad calced by pat"
"sitr","14-jan-15","","","sitar","","u","c","r","25-jul-06","","25-jul-06","hem","15-feb-06","1","","","","k","","","","talek","tk","talek east; littermate never named, but seen nursing at same time as sitr"
"skch","19-jul-16","","","sketchers","","m","c","r","21-jan-11","","03-jul-11","hex","10-dec-10","0","","","","k","","","","talek","tk",""
"skk","","","","skink","","","","","","","","","","","","","","a","","","","airstrip","","amboseli"
"skul","20-may-15","","","skull","","","c","r","03-jun-13","","","","","","","","","a","","","","mara.river","",""
"sky","","872","","skye","","f","c","r","23-nov-05","","16-apr-06","eco","16-nov-05","1","1","","","k","lions","16-apr-06","","mara.river","",""
"slsh","","","","slasher","","m","a","o","","","","","","","","","","a","","","","mara.river","",""
"slth","18-jun-15","","","sloth","peg=cubname","m","c","r","29-dec-11","","21-aug-12","arg","06-sep-11","1","1","","","k","","","10-jun-12","talek","tk",""
"slwp","04-dec-17","","","slow poke","","m","c","r","15-sep-14","21-mar-15","31-dec-16","mgta","30-jun-14","","","","","d","","","","talek","",""
"smt","26-mar-08","","","smithers","","u","c","r","29-nov-02","","28-jan-03","dsn","20-oct-02","1","","","","k","","28-jan-03","","mara.river","","deathdate is date last seen"
"smth","17-jun-15","","","smithsonian","rosemary = cub name","","c","r","20-jan-12","","03-aug-12","clar","20-nov-11","1","1","","","k","unk","","","fig.tree","",""
"smy","","","","smokey","","","","","","","","","","","","","","a","","","","","","amboseli; lakeview clan"
"sna","02-feb-16","","","siena","","u","c","r","18-apr-06","11-dec-06","09-mar-07","mos","17-apr-06","1","1","","","k","","03-mar-07","","talek","tk","talek west; kay approved dls even though only seen as 'sna?'"
"snag","","","","snaggletooth","","f","s","r","","","","arw","","","","","","a","","","","fig.tree","",""
"snar","26-mar-08","150","","snare","","u","a","d","21-jun-95","","21-jun-95","","","","","","","k","humans","21-jun-95","","","tk",""
"sndy","13-nov-15","","","sandy","","f","","r","15-jun-02","","","","","","","","","a","","","","oltukai","","amboseli"
"snik","23-sep-09","","","snickers","","u","c","r","07-nov-60","","28-jan-07","mls","20-oct-06","1","1","","","u","","","","mara.river","",""
"snrl","02-may-12","","","sonny rollins","","","c","r","30-jan-12","","","peeb","02-jan-12","1","","","","a","","","","mara.river","",""
"sntr","10-dec-15","","","sinatra","","m","c","r","09-apr-06","04-nov-06","25-jun-10","bail","06-apr-06","1","1","","","d","","","08-dec-06","talek","tk","talek west"
"soc1","","","","socrates1","","u","c","r","","","07-apr-00","mali","28-mar-00","1","","","","a","","","","talek","tk"," dengrad calced by pat; this cub only appears in tblreprostates (never the notes) and therefore can't get a dfs"
"soc2","","","","socrates2","","u","c","r","","","07-apr-00","mali","28-mar-00","1","","","","a","","","","talek","tk"," dengrad calced by pat; this cub only appears in tblreprostates (never the notes) and therefore can't get a dfs"
"sol","","","","solomon","","m","a","","20-jun-01","","20-jun-01","","","","","","","a","","","","mara.river","",""
"sopa","24-jan-17","","","sopa","","m","c","r","15-aug-13","","15-jan-16","wran","21-jul-13","","","","","u","","","07-jun-14","talek","",""
"sosa","14-apr-15","","","soit-sambu","al406","m","a","i","11-aug-12","","","","","","","","","a","","","","fig.tree","","dfs is from talek but ended up in ft"
"sour","","","","","","m","c","r","","","","lnx","16-may-09","1","2","","","a","","","","mara.river","",""
"sp","","","","south paw","","f","a","","25-may-01","","25-may-01","","","","","","","a","","","","mara.river","",""
"spa","26-mar-08","","","supa","","u","c","r","28-jul-03","","28-jul-03","nana","15-jul-03","","","","","k","","28-jul-03","","mara.river","",""
"spee","03-feb-15","","","speedometer","","u","c","r","20-jan-13","","20-jan-13","mono","20-jan-13","","","","","k","","","","talek","tk",""
"sphx","19-jan-16","","","sphinx","","u","c","r","24-nov-06","15-aug-07","16-nov-07","pan","25-oct-06","1","1","29-jul-07","07/29/07 00:00:00","k","","","21-sep-07","talek","",""
"spk","18-nov-16","","","spook","","m","a","t","23-aug-92","","23-aug-92","","","","","","","u","","","","talek","tk",""
"spm","04-nov-16","","","spm","","u","a","t","05-oct-98","","05-oct-98","","","","","","","u","","","","talek","tk",""
"spn","13-nov-15","","","spoon","","m","","i","12-jul-03","","","","","","","","","a","","","","oltukai","","amboseli"
"spng","10-may-16","","","sponge","nemesis = cub name","m","c","r","01-dec-12","08-aug-13","01-jan-15","amaz","03-nov-12","1","","","","d","","","22-sep-13","talek","tk",""
"spnk","","","","","","","c","r","","","","brz","20-jul-08","0","","","","a","","","","mara.river","",""
"spo","28-mar-08","","","spock","","f","c","r","14-dec-88","","20-feb-89","bf","07-nov-88","1","1","","","k","","20-feb-89","","talek","tk"," dengrad calced by pat"
"spta","06-may-15","","","sparta","","m","a","i","04-jul-07","","25-apr-08","","","","","","","d","","","","fig.tree","",""
"spty","22-may-15","","","sparty","","m","c","r","14-mar-10","","04-apr-10","snag","14-dec-09","","","","","a","","","","fig.tree","",""
"spw","13-nov-15","","","superwoman","","f","","r","12-jul-03","","","","","","","","","a","","","","oltukai","","amboseli"
"spy","","","","spy","","m","a","","13-jun-01","","13-jun-01","","","","","","","a","","","","mara.river","",""
"sq","14-dec-16","","","squiggle","","m","a","t","27-nov-89","","27-jun-90","","","","","","","k","","","","talek","tk",""
"sqim","","","","sequim","al487 and al499","m","a","i","17-dec-14","","","","","","","","","a","","","","talek","tk",""
"sray","03-may-12","","","sugar ray robinson","","","c","r","","","","mre","03-jun-10","1","","","","a","","","","mara.river","",""
"srg","08-sep-16","","","kerri strug","shine","f","c","r","29-jun-15","29-feb-16","","baez","29-mar-15","1","2","","","a","","","","talek","tk",""
"sri","22-apr-07","134","","sri","","m","c","r","06-jan-95","","06-jan-95","","","","","","","u","","","","sri","tk",""
"srlt","24-dec-14","","","scarlet","","u","c","r","02-feb-10","","22-may-10","mos","29-nov-09","1","2","","","k","","","","talek","tk",""
"srn","25-feb-16","","","siren","","m","c","r","14-apr-08","06-dec-08","22-oct-11","pan","01-mar-08","1","2","","","d","","","23-jan-09","talek","tk",""
"srvy","02-aug-18","","","survey","","f","c","r","03-jun-15","","","","03-sep-14","","","","","a","","","","talek","tk","unknown sub seen near bb x; dfs already too old to estimate age, can't give a dob"
"ssh","","","","sasha","","f","s","r","01-nov-03","","","","","","","","","a","","","","airstrip","","amboseli"
"stb","21-jul-16","","","steinbeck","","f","c","r","10-jul-06","","30-jul-06","who","01-jan-06","","","","","k","","","","talek","","talek east"
"ste","28-mar-08","2","","steve","","m","c","r","10-jun-89","","06-aug-89","xs","15-may-89","1","2","12-jul-89","07/12/89 00:00:00","k","","06-aug-89","","talek","tk"," dengrad calced by pat"
"stg","18-nov-16","164","","strawberry blond guy","","m","a","i","30-jan-95","","20-sep-99","","","","","","","d","","","","talek","tk",""
"sth","","","","smith","","m","c","r","10-aug-04","","","zsa","05-aug-04","1","","","","a","","","","oltukai","","amboseli"
"stl","09-nov-16","","","seattle","","m","a","i","24-oct-04","","28-nov-05","","","","","","","u","","","","talek","",""
"stly","","","","stanley","","u","s","t","26-sep-98","","26-sep-98","","","","","","","","","","","talek","tk",""
"stny","18-nov-16","125","","stony","","m","a","i","30-aug-94","","25-jul-96","","","","","","","k","humans","","","talek","tk",""
