ID,Year,Month,BiMonth,YearBiMonth,StudyBiMonth,Transect,TotalPrey,TotalMigratory,TotalResidents,Richness,Shannon,Evenness,Thomsons,Impala,Zebra,Gnu,Topi,Hartebeast,Warthog,Grants,Buffalo,Hippo,Giraffe,Springbok,Duiker,Ostrich,Eland,Elephant,Oribi,Reedbuck,Waterbuck,Baboons,Bushbuck,Other
55,1989,12,2,24,48,WHIGH,12,0,12,,,,1,0,0,0,7,2,,,,,,,,,,,,,,,,2
56,1989,12,2,24,48,WLOW,96,0,96,,,,67,0,0,0,28,0,,,,,,,,,,,,,,,,1
57,1990,1,1,1,49,WHIGH,11,0,11,,,,0,1,0,0,1,6,,,,,,,,,,,,,,,,3
58,1990,1,1,1,49,WLOW,237,0,237,,,,195,2,0,0,33,0,,,,,,,,,,,,,,,,7
59,1990,1,2,2,50,WHIGH,2,0,2,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,1
60,1990,1,2,2,50,WLOW,295,7,288,,,,208,1,4,3,69,6,,,,,,,,,,,,,,,,4
61,1990,2,1,3,51,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
62,1990,2,1,3,51,WLOW,206,1,205,,,,139,24,0,1,42,0,,,,,,,,,,,,,,,,0
63,1990,2,2,4,52,WHIGH,17,0,17,,,,0,0,0,0,1,13,,,,,,,,,,,,,,,,3
64,1990,2,2,4,52,WLOW,391,0,391,,,,320,17,0,0,52,1,,,,,,,,,,,,,,,,1
65,1990,3,1,5,53,WHIGH,25,4,21,,,,1,0,4,0,0,13,,,,,,,,,,,,,,,,7
66,1990,3,1,5,53,WLOW,484,6,478,,,,338,61,5,1,73,5,,,,,,,,,,,,,,,,1
67,1990,3,2,6,54,WHIGH,17,0,17,,,,0,0,0,0,0,3,,,,,,,,,,,,,,,,14
68,1990,3,2,6,54,WLOW,161,1,160,,,,93,22,0,1,45,0,,,,,,,,,,,,,,,,0
69,1990,4,1,7,55,WHIGH,2,0,2,,,,0,1,0,0,0,1,,,,,,,,,,,,,,,,0
70,1990,4,1,7,55,WLOW,396,0,396,,,,259,87,0,0,46,4,,,,,,,,,,,,,,,,0
71,1990,4,2,8,56,WHIGH,136,0,136,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,136
72,1990,4,2,8,56,WLOW,229,0,229,,,,142,33,0,0,47,5,,,,,,,,,,,,,,,,2
73,1990,5,1,9,57,WHIGH,2,0,2,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2
74,1990,5,1,9,57,WLOW,279,0,279,,,,200,34,0,0,37,6,,,,,,,,,,,,,,,,2
75,1990,5,2,10,58,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
76,1990,5,2,10,58,WLOW,329,0,329,,,,259,35,0,0,27,7,,,,,,,,,,,,,,,,1
77,1990,6,1,11,59,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
78,1990,6,1,11,59,WLOW,165,0,165,,,,140,1,0,0,22,1,,,,,,,,,,,,,,,,1
79,1990,6,2,12,60,WHIGH,1,0,1,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,1
80,1990,6,2,12,60,WLOW,1398,434,964,,,,661,59,434,0,233,9,,,,,,,,,,,,,,,,2
81,1990,7,1,13,61,WHIGH,5,0,5,,,,0,0,0,0,0,3,,,,,,,,,,,,,,,,2
82,1990,7,1,13,61,WLOW,821,219,602,,,,532,24,210,9,39,0,,,,,,,,,,,,,,,,7
83,1990,7,2,14,62,WHIGH,1080,1074,6,,,,0,4,520,554,2,0,,,,,,,,,,,,,,,,0
84,1990,7,2,14,62,WLOW,848,786,62,,,,3,1,14,772,58,0,,,,,,,,,,,,,,,,0
85,1990,8,1,15,63,WHIGH,849,848,1,,,,0,0,42,806,1,0,,,,,,,,,,,,,,,,0
86,1990,8,1,15,63,WLOW,962,946,16,,,,5,0,5,941,11,0,,,,,,,,,,,,,,,,0
87,1990,8,2,16,64,WHIGH,1357,1287,70,,,,0,0,8,1279,62,0,,,,,,,,,,,,,,,,8
88,1990,8,2,16,64,WLOW,332,241,91,,,,14,49,15,226,23,0,,,,,,,,,,,,,,,,5
89,1990,9,1,17,65,WHIGH,68,4,64,,,,0,0,4,0,61,1,,,,,,,,,,,,,,,,2
90,1990,9,1,17,65,WLOW,19,0,19,,,,11,0,0,0,8,0,,,,,,,,,,,,,,,,0
91,1990,9,2,18,66,WHIGH,414,373,41,,,,0,0,68,305,33,8,,,,,,,,,,,,,,,,0
92,1990,9,2,18,66,WLOW,446,427,19,,,,3,1,35,392,14,0,,,,,,,,,,,,,,,,1
93,1990,10,1,19,67,WHIGH,12,4,8,,,,0,1,0,4,7,0,,,,,,,,,,,,,,,,0
94,1990,10,1,19,67,WLOW,159,131,28,,,,2,0,43,88,22,0,,,,,,,,,,,,,,,,4
95,1990,10,2,20,68,WHIGH,58,37,21,,,,1,0,37,0,19,0,,,,,,,,,,,,,,,,1
96,1990,10,2,20,68,WLOW,83,29,54,,,,5,0,22,7,49,0,,,,,,,,,,,,,,,,0
97,1990,11,1,21,69,WHIGH,260,254,6,,,,0,0,41,213,3,3,,,,,,,,,,,,,,,,0
98,1990,11,1,21,69,WLOW,49,2,47,,,,24,0,2,0,23,0,,,,,,,,,,,,,,,,0
99,1990,11,2,22,70,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
100,1990,11,2,22,70,WLOW,118,14,104,,,,46,1,4,10,48,6,,,,,,,,,,,,,,,,3
101,1990,12,1,23,71,WHIGH,99,70,29,,,,0,1,40,30,12,6,,,,,,,,,,,,,,,,10
102,1990,12,1,23,71,WLOW,138,52,86,,,,57,1,0,52,28,0,,,,,,,,,,,,,,,,0
103,1990,12,2,24,72,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
104,1990,12,2,24,72,WLOW,231,0,231,,,,154,1,0,0,68,0,,,,,,,,,,,,,,,,8
105,1991,1,1,1,73,WHIGH,4,0,4,,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,3
106,1991,1,1,1,73,WLOW,103,0,103,,,,49,1,0,0,38,0,,,,,,,,,,,,,,,,15
107,1991,1,2,2,74,WHIGH,2,0,2,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,2
108,1991,1,2,2,74,WLOW,222,0,222,,,,97,9,0,0,96,0,,,,,,,,,,,,,,,,20
109,1991,2,1,3,75,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
110,1991,2,1,3,75,WLOW,384,21,363,,,,182,61,21,0,77,22,,,,,,,,,,,,,,,,21
111,1991,2,2,4,76,WHIGH,7,7,0,,,,0,0,7,0,0,0,,,,,,,,,,,,,,,,0
112,1991,2,2,4,76,WLOW,134,4,130,,,,93,0,4,0,32,0,,,,,,,,,,,,,,,,5
113,1991,3,1,5,77,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
114,1991,3,1,5,77,WLOW,178,4,174,,,,131,4,4,0,23,10,,,,,,,,,,,,,,,,6
